SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BCCL,Bihar Caustics and Chemicals Ltd,EQ,05-DEC-2005,10,1,INE605B01016,10
BEL,Bharat Electronics Ltd,EQ,19-JUL-2000,10,1,INE263A01016,10
BELCERAMIC,Bell Ceramics Ltd,EQ,18-OCT-1995,10,1,INE403A01018,10
BEML,Bharat Earth Movers Ltd,EQ,05-NOV-2003,10,1,INE258A01016,10
BEPL,Bhansali Engineering Polymers Ltd,EQ,21-MAR-2005,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Ltd,EQ,24-NOV-1999,2,1,INE463A01020,2
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5
BHAGWATIHO,Bhagwati Banquets and Hotels Limited,EQ,17-MAY-2007,10,1,INE797H01018,10
BHAGYNAGAR,Bhagyanagar India Limited,EQ,10-MAY-1995,2,1,INE458B01028,2
BHARATFORG,Bharat Forge Co. Ltd,EQ,04-APR-2003,2,1,INE465A01025,2
BHARATGEAR,Bharat Gears Ltd,EQ,03-APR-1996,10,1,INE561C01019,10
BHARATRAS,Bharat Rasayan Ltd,EQ,11-OCT-1995,10,1,INE838B01013,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,10,1,INE397D01016,10
BHARTISHIP,Bharati Shipyard Limited,EQ,30-DEC-2004,10,1,INE673G01013,10
BHEL,Bharat Heavy Electricals Ltd,EQ,11-NOV-2003,10,1,INE257A01018,10
BHUSANSTL,Bhushan Steel Limited,EQ,21-NOV-2003,10,1,INE824B01013,10
BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
BILPOWER,Bilpower  Limited,EQ,29-JAN-2007,10,1,INE952D01018,10
BILT,Ballarpur Industries Ltd,EQ,19-JUL-1995,10,1,INE294A01011,10
BINANICEM,Binani Cement Limited,EQ,28-MAY-2007,10,1,INE042H01019,10
BINANIIND,Binani Industries Limited,EQ,27-SEP-2006,10,1,INE071A01013,10
BINDALAGRO,Oswal Chemicals & Fertilizers Ltd.,EQ,28-AUG-1996,10,1,INE143A01010,10
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
BIRLAERIC,Birla Ericsson Optical Ltd,EQ,06-DEC-1995,10,1,INE800A01015,10
BIRLAJUTE,Birla Corporation Ltd,EQ,12-APR-1995,10,1,INE340A01012,10
BIRLAPOWER,Birla Power Solutions Limited,EQ,06-JUN-2007,10,1,INE224B01016,10
BLBLIMITED,BLB Limited,EQ,31-MAY-2000,1,1,INE791A01024,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,10,1,INE350H01016,10
BLUEBIRD,Blue Bird (India) Limited,EQ,11-DEC-2006,10,1,INE697H01010,10
BLUECHIP,Blue Chip India Ltd,EQ,12-MAR-1997,2,1,INE657B01025,2
BLUECOAST,Blue Coast Hotels and Resorts Limited,EQ,16-FEB-2000,10,1,INE472B01011,10
BLUEDART,Blue Dart Express Ltd,EQ,12-DEC-2002,10,1,INE233B01017,10
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
BLUESTINFO,Blue Star Infotech Limited,EQ,27-SEP-2000,10,1,INE504B01011,10
BOBELSS97,BOB Mutual Fund-ELSS 97,BT,31-DEC-2001,10,50,,10
BOC,BOC India Limited,EQ,16-JUN-1999,10,1,INE473A01011,10
BOMDYEING,Bombay Dyeing & Mfg Co. Ltd,EQ,26-APR-1995,10,1,INE032A01015,10
BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,EQ,20-AUG-2003,10,1,INE241A01012,10
BOSCHCHASY,Bosch Chassis Systems India Ltd.,EQ,03-JUN-2003,10,1,INE053B01019,10
BPCL,Bharat Petroleum Corpn. Ltd,EQ,13-SEP-1995,10,1,INE029A01011,10
BRFL,Bombay Rayon Fashions Limited,EQ,05-DEC-2005,10,1,INE589G01011,10
BRITANNIA,Britannia Industries Ltd,EQ,05-NOV-1998,10,1,INE216A01014,10
BROADCAST,Broadcast Initiatives Limited,EQ,07-MAR-2007,10,1,INE698H01018,10
BSCFAUG08A,Benchmark Mutual Fund,EQ,21-SEP-2005,100,1,INF732E01086,100
BSCFAUG08B,Benchmark Mutual Fund,EQ,21-SEP-2005,100,1,INF732E01094,100
BSELINFRA,BSEL Infrastructure Realty Limited,EQ,07-FEB-2001,10,1,INE395A01016,10
BSL,BSL Ltd,EQ,27-JUL-1995,10,1,INE594B01012,10
CADILAHC,Cadila Healthcare Limited,EQ,18-APR-2000,5,1,INE010B01019,5
CAIRN,Cairn India Limited,EQ,09-JAN-2007,10,1,INE910H01017,10
CALSOFT,California Software Company Limited,EQ,28-JUN-2000,10,1,INE526B01014,10
CAMBRIDGE,Cambridge Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10
CANBK,CANARA BANK,EQ,23-DEC-2002,10,1,INE476A01014,10
CANDC,C & C Constructions Limited,EQ,26-FEB-2007,10,1,INE874H01015,10
CANFINHOME,Can Fin Homes Ltd,EQ,10-MAY-1995,10,1,INE477A01012,10
CARBORUNIV,Carborundum Universal Ltd,EQ,03-APR-1996,2,1,INE120A01026,2
CAROLINFO,Carol Info Services Limited,EQ,12-JAN-2000,10,1,INE198A01014,10
CASTROL,Castrol India Ltd,EQ,16-AUG-2007,10,1,INE172A01019,10
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,10,1,INE421D01014,10
CEAT,Ceat Ltd,EQ,08-FEB-1995,10,1,INE482A01012,10
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10
CELESTIAL,Celestial Labs Limited,EQ,17-JUL-2007,10,1,INE221I01017,10
CENTBOP,Centurion Bank of Punjab Limited,EQ,04-MAR-2004,1,1,INE484A01026,1
CENTENKA,Century Enka Ltd,EQ,10-MAY-1995,10,1,INE485A01015,10
CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,1,1,INE281A01026,1
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10
CENTUM,Solectron Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,10,1,INE348B01013,10
CENTURYTEX,Century Textiles & Industries Ltd,EQ,27-JUN-2003,10,1,INE055A01016,10
CESC,CESC Ltd.,EQ,08-FEB-1995,10,1,INE486A01013,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd,EQ,14-JUN-1995,10,1,INE085A01013,10
CHEMFALKAL,CHEMFAB ALKALIS LIMITED,EQ,18-MAY-2006,5,1,INE479E01028,5
CHEMPLAST,Chemplast Sanmar Ltd.,EQ,08-FEB-1995,1,1,INE488A01027,1
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10
CHESLINTEX,Cheslind Textiles Ltd,EQ,27-JUL-1995,10,1,INE217C01018,10
CHETTINAD,Chettinad Cement Corporation Ltd,EQ,17-MAY-2007,10,1,INE132B01011,10
CHOLADBS,Cholamandalam DBS Finance Limited,EQ,15-MAY-1996,10,1,INE121A01016,10
CIMCOBIRLA,Cimmco Birla Ltd,EQ,28-JAN-1998,10,1,INE184C01010,10
CINEMAX,Cinemax India Limited,EQ,14-FEB-2007,10,1,INE704H01014,10
CINEVISTA,Cinevistaas Limited,EQ,02-MAY-2000,10,1,INE039B01018,10
CIPLA,Cipla Ltd.,EQ,08-FEB-1995,2,1,INE059A01026,2
CLASSIC,Classic Diamonds (India) Limited,EQ,05-MAY-2004,10,1,INE987C01016,10
CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-JUN-1995,10,1,INE492A01029,10
CLUTCHAUTO,Clutch Auto Limited,EQ,23-JAN-2007,10,1,INE779B01019,10
CMC,CMC Ltd,EQ,09-JUN-1999,10,1,INE314A01017,10
COLGATE,Colgate Palmolive India Ltd,EQ,31-JUL-2003,10,1,INE259A01014,10
COMPUTECH,Computech International Ltd.,EQ,08-DEC-1999,5,1,INE751A01028,5
COMSYS,Compulink Systems Limited,EQ,28-DEC-2005,10,1,INE206H01010,10
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,10,1,INE111A01017,10
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10
COREEMBLG,Core Emballage Ltd.,EQ,17-APR-1996,10,1,INE218C01016,10
COREPROTEC,Core Projects and Technologies Limited,EQ,25-MAY-2007,2,1,INE247G01024,2
COROMNFERT,Coromandel Fertilisers Ltd.,EQ,31-MAY-1995,2,1,INE169A01023,2
CORPBANK,Corporation Bank,EQ,01-DEC-1997,10,1,INE112A01015,10
COSMOFILMS,Cosmo Films Ltd,EQ,25-MAY-1995,10,1,INE757A01017,10
CRANESSOFT,Cranes Software International Limited,EQ,27-OCT-2004,2,1,INE234B01023,2
CRESTANI,Crest Animation Studios Limited,EQ,31-AUG-2001,10,1,INE774A01012,10
CREWBOS,Crew B.O.S. Products Limited,EQ,24-SEP-2004,10,1,INE514G01019,10
CRISIL,CRISIL Limited,EQ,28-JUN-1995,10,1,INE007A01017,10
CROMPGREAV,Crompton  Greaves Ltd,EQ,01-MAR-1995,2,1,INE067A01029,2
CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10,1,INE627H01017,10
CUB,City Union Bank Ltd.,EQ,25-AUG-1998,10,1,INE491A01013,10
CUMMINSIND,Cummins India Ltd.,EQ,29-MAR-1995,2,1,INE298A01020,2
CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,10,1,INE278G01037,10
CYBERTECH,Cybertech Systems And Software Ltd.,EQ,27-JAN-1999,10,1,INE214A01019,10
D-LINK,D-Link (India) Limited,EQ,11-APR-2001,2,1,INE178C01020,2
DAAWAT,L. T. Overseas Limited,EQ,18-DEC-2006,10,1,INE818H01012,10
DABUR,Dabur India Ltd,EQ,28-APR-1999,1,1,INE016A01026,1
DABURPHARM,Dabur Pharma Limited,EQ,30-SEP-2004,1,1,INE575G01010,1
DALMIACEM,Dalmia Cement (Bharat) Ltd,EQ,17-JAN-1996,2,1,INE495A01022,2
DATATECH,Datamatics Technologies Limited,EQ,07-MAY-2004,5,1,INE365B01017,5
DCB,Development Credit Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10
DCHL,Deccan Chronicle Holdings Ltd.,EQ,22-DEC-2004,2,1,INE137G01027,2
DCM,DCM  Ltd,EQ,29-MAR-1995,10,1,INE498A01018,10
DCMSRMCONS,DCM Shriram Consolidated Ltd,EQ,12-APR-1995,2,1,INE499A01024,2
DCW,DCW Ltd,EQ,25-MAY-1995,2,1,INE500A01029,2
DECCANCE,Deccan Cements Ltd,EQ,02-AUG-2007,10,1,INE583C01013,10
DECOLIGHT,Decolight Ceramics Limited,EQ,19-JUN-2007,10,1,INE172I01012,10
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10
DENABANK,Dena Bank,EQ,15-JAN-1997,10,1,INE077A01010,10
DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
DEWANHOUS,Dewan Housing Finance Corporation Ltd,EQ,01-OCT-2002,10,1,INE202B01012,10
DHAMPURSUG,The Dhampur Sugar Mills Ltd,EQ,29-MAR-1995,10,1,INE041A01016,10
DHARSUGAR,Dharani Sugars & Chemicals Ltd,EQ,22-MAY-1996,10,1,INE988C01014,10
DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10
DISHMAN,Dishman Pharmaceuticals and Chemicals Limited,EQ,22-APR-2004,2,1,INE353G01020,2
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,EQ,06-OCT-2006,10,1,INE920A01011,10
DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10
DRREDDY,Dr. Reddy's Laboratories Ltd.,EQ,30-MAY-2003,5,1,INE089A01023,5
DSKULKARNI,DS Kulkarni Developers Ltd.,EQ,08-FEB-1995,10,1,INE891A01014,10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,10,1,INE366A01033,10
DYNAMATECH,Dynamatic Technologies Ltd.,EQ,14-SEP-2006,10,1,INE221B01012,10
EASTSILK,Eastern Silk Industries Limited,EQ,03-JUL-1996,10,1,INE962C01019,10
EASUNREYRL,Easun Reyrolle Ltd,EQ,23-JUL-1997,2,1,INE268C01029,2
ECEIND,ECE Industries Limited,EQ,24-SEP-2007,10,1,INE588B01014,10
EDUCOMP,Educomp Solutions Limited,EQ,13-JAN-2006,10,1,INE216H01019,10
EICHERMOT,Eicher Motors Ltd,EQ,07-SEP-2004,10,1,INE066A01013,10
EIDPARRY,EID Parry India Ltd.,EQ,10-MAY-1995,2,1,INE126A01023,2
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2
EIMCOELECO,Eimco Elecon (India) Ltd.,EQ,17-APR-1996,10,1,INE158B01016,10
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2
ELDERPHARM,Elder Pharmaceuticals Limited,EQ,19-APR-2000,10,1,INE975A01015,10
ELECON,Elecon Engineering Co Ltd,EQ,29-SEP-2006,2,1,INE205B01023,2
ELECTCAST,Electrosteel Castings Ltd,EQ,20-JUN-2003,1,1,INE086A01029,1
ELECTHERM,Electrotherm (India) Ltd.,EQ,20-AUG-2007,10,1,INE822G01016,10
ELGIEQUIP,Elgi Equipments Ltd,EQ,22-NOV-1995,1,1,INE285A01027,1
ELGITYRE,Elgitread (India) Ltd,EQ,29-JAN-1997,1,1,INE257B01024,1
EMAMILTD,Emami Limited,EQ,03-AUG-2006,2,1,INE548C01024,2
EMCO,Emco Limited,EQ,15-DEC-2005,10,1,INE078A01018,10
EMERCK,E.Merck (India) Ltd,EQ,24-APR-1996,10,1,INE199A01012,10
EMKAY,Emkay Share and Stock Brokers Limited,EQ,28-APR-2006,10,1,INE296H01011,10
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,10,1,INE510A01010,10
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10
ENKEI,Enkei Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
ENNOREFO,Ennore Foundries Limited,EQ,26-SEP-2006,10,1,INE291F01016,10
ENTEGRA,Entegra Limited,EQ,22-OCT-2001,10,1,INE826A01028,10
ERACONS,Era Constructions (India) Limited,EQ,29-MAR-2006,10,1,INE039E01012,10
ESABINDIA,Esab India Ltd,EQ,01-NOV-1995,10,1,INE284A01012,10
ESCORTS,Escorts Ltd,EQ,01-MAR-1995,10,1,INE042A01014,10
ESSAROIL,Essar Oil Limited,EQ,02-AUG-1995,10,1,INE011A01019,10
ESSDEE,Ess Dee Aluminium Limited,EQ,28-DEC-2006,10,1,INE825H01017,10
ESSELPACK,Essel Propack Ltd.,EQ,11-FEB-2002,2,1,INE255A01020,2
ESTL,Essar Steel Limited,EQ,13-JUN-2005,10,1,INE127A01021,10
EUROCERA,Euro Ceramics Limited,EQ,09-MAR-2007,10,1,INE649H01011,10
EUROTEXIND,Eurotex Industries and Exports Ltd,EQ,31-JAN-1996,10,1,INE022C01012,10
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5,1,INE128A01029,5
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10
EVERONN,Everonn Systems India Limited,EQ,01-AUG-2007,10,1,INE678H01010,10
EVINIX,Evinix Accessories Limited,EQ,07-MAR-2007,10,1,INE961H01010,10
EXCELCROP,Excel Crop Care Limited,EQ,16-JUN-2004,5,1,INE223G01017,5
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5
EXIDEIND,Exide Industries Ltd.,EQ,17-JUN-2003,1,1,INE302A01020,1
FACT,Fertilizers and Chemicals Travancore Ltd.,EQ,12-APR-1995,10,1,INE188A01015,10
FAGBEARING,FAG Bearings India Limited,EQ,29-NOV-2000,10,1,INE513A01014,10
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,10,1,INE512B01014,10
FDC,FDC Ltd.,EQ,07-AUG-1997,1,1,INE258B01022,1
FEDDERLOYD,Fedders Lloyd Corporation Ltd,EQ,15-SEP-2005,10,1,INE249C01011,10
FEDERALBNK,The Federal Bank  Ltd,EQ,08-FEB-1995,10,1,INE171A01011,10
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10
FINANTECH,Financial Technologies (India) Limited,EQ,20-JUN-2005,2,1,INE111B01023,2
FINCABLES,Finolex Cables Ltd.,EQ,15-FEB-1995,2,1,INE235A01022,2
FINPIPE,Finolex Industries Ltd.,EQ,08-FEB-1995,10,1,INE183A01016,10
FIRSTLEASE,First Leasing Company of India Ltd,EQ,19-JUL-2000,10,1,INE492B01019,10
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10
FOSECOIND,Foseco India Ltd,EQ,05-MAY-2003,10,1,INE519A01011,10
FOURSOFT,Four Soft Limited,EQ,12-MAR-2004,5,1,INE218G01017,5
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
FTCPOF3YDV,Franklin Templeton Capital Protection Oriented Fund,EQ,25-JUN-2007,10,1,INF090I01064,10
FTCPOF3YGR,Franklin Templeton Capital Protection Oriented Fund,EQ,25-JUN-2007,10,1,INF090I01056,10
FTCPOF5YDV,Franklin Templeton Capital Protection Oriented Fund,EQ,25-JUN-2007,10,1,INF090I01080,10
FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund,EQ,25-JUN-2007,10,1,INF090I01072,10
FTCSF3YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-3Y(Divdend Option),EQ,28-MAY-2007,10,1,INF090I01023,10
FTCSF3YGRO,Franklin Templeton Mutual Fund-Capital Saftey Fund 3Y (Growth Option),EQ,28-MAY-2007,10,1,INF090I01015,10
FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option,EQ,28-MAY-2007,10,1,INF090I01049,10
FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option),EQ,28-MAY-2007,10,1,INF090I01031,10
GABRIEL,Gabriel India Ltd,EQ,20-APR-2005,1,1,INE524A01029,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,2,1,INE036B01022,2
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
GALLANTT,Gallantt Metal Limited,EQ,04-APR-2006,10,1,INE297H01019,10
GAMMONIND,Gammon India Ltd.,EQ,16-OCT-1996,2,1,INE259B01020,2
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,10,1,INE524B01019,10
GANESHHOUC,GANESH HOUSING CORPORATION LTD.,EQ,02-MAR-2007,10,1,INE460C01014,10
GANGOTRI,Gangotri Textiles Limited,EQ,07-APR-2006,5,1,INE670B01028,5
GARDENSILK,Garden Silk Mills Ltd.,EQ,01-APR-2003,10,1,INE526A01016,10
GARWALLROP,Garware  Wall Ropes Ltd.,EQ,03-APR-2007,10,1,INE276A01018,10
GARWOFFS,Garware Offshore Services Limited,EQ,03-MAY-2007,10,1,INE446C01013,10
GATI,GATI LIMITED,EQ,10-OCT-2006,2,1,INE152B01027,2
GBN,Global Broadcast News Limited,EQ,08-FEB-2007,10,1,INE886H01019,10
GDL,Gateway Distriparks Limited,EQ,31-MAR-2005,10,1,INE852F01015,10
GEMINI,Gemini Communication Limited,EQ,18-JAN-2007,5,1,INE878C01025,5
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,10,1,INE727B01018,10
GENUSOVERE,Genus Overseas Electronics Limited,EQ,08-JUL-2005,10,1,INE955D01011,10
GEOINFO,Geodesic Information Systems Limited,EQ,07-JUL-2004,2,1,INE371D01029,2
GEOJIT,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1
GEOMETRIC,Geometric Software Solutions Co. Limited,EQ,15-MAR-2000,2,1,INE797A01021,2
GESCOCORP,Mahindra Gesco Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10
GESHIP,The Great Eastern Shipping Co. Limited,EQ,27-NOV-2006,10,1,INE017A01032,10
GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10
GICHSGFIN,GIC Housing Finance Ltd,EQ,08-MAY-1996,10,1,INE289B01019,10
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10
GINNIFILA,Ginni Filaments Ltd,EQ,10-MAY-1995,10,1,INE424C01010,10
GIPCL,Gujarat Industries Power Co. Ltd,EQ,08-FEB-1995,10,1,INE162A01010,10
GITANJALI,Gitanjali Gems Limited,EQ,10-MAR-2006,10,1,INE346H01014,10
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10
GLENMARK,Glenmark Pharmaceuticals Ltd.,EQ,07-FEB-2000,1,1,INE935A01035,1
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10
GLORY,Glory Polyfilms Limited,EQ,18-JUN-2007,10,1,INE408H01012,10
GMBREW,GM Breweries Ltd.,EQ,23-AUG-1995,10,1,INE075D01018,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,10,1,INE131A01023,10
GMRINDS,GMR Industries Limited,EQ,24-SEP-2007,10,1,INE353B01021,10
GMRINFRA,GMR Infrastructure Limited,EQ,21-AUG-2006,2,1,INE776C01021,2
GNFC,Gujarat Narmada Valley Fertilizer Co. Ltd.,EQ,17-MAY-1995,10,1,INE113A01013,10
GOACARBON,Goa Carbon Ltd,EQ,05-JUN-2007,10,1,INE426D01013,10
GODAVRFERT,Godavari Fertilisers And Chemicals Ltd.,EQ,01-APR-2003,10,1,INE507C01012,10
GODFRYPHLP,Godfrey Phillips India Ltd,EQ,24-JUL-1996,10,1,INE260B01010,10
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1
GODREJIND,Godrej Industries Ltd.,EQ,25-FEB-2003,1,1,INE233A01035,1
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5,1,INE887G01027,5
GOLDBEES,Benchmark Mutual Fund - Gold Benchmark Exchange Traded Scheme,EQ,19-MAR-2007,100,1,INF732E01102,100
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,10,1,INE025B01017,10
GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund,EQ,17-APR-2007,100,1,INF789F01059,100
GOLDTECH,Goldstone Technologies Ltd.,EQ,11-APR-2001,10,1,INE805A01014,10
GOLDTELE,Goldstone Teleservices Ltd.,EQ,20-MAR-2002,4,1,INE260D01016,4
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,10,1,INE177H01013,10
GRANULES,Granules India Limited,EQ,20-JUN-2005,10,1,INE101D01012,10
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2
GRASIM,Grasim Industries Ltd.,EQ,10-MAY-1995,10,1,INE047A01013,10
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,10,1,INE224A01018,10
GREENPLY,Greenply Industries Ltd,EQ,06-MAR-1996,5,1,INE461C01020,5
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,INE536A01023,5
GRUH,Gruh Finance Limited,EQ,10-SEP-2004,10,1,INE580B01011,10
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,EQ,06-SEP-1995,10,1,INE026A01017,10
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,EQ,16-JUN-2003,10,1,INE264A01014,10
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10
GTCIND,GTC Industries Ltd,EQ,08-FEB-1995,10,1,INE973A01010,10
GTL,GTL Limited,EQ,29-MAR-1995,10,1,INE043A01012,10
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10,1,INE221H01019,10
GTNIND,GTN Industries Limited,EQ,02-AUG-1995,10,1,INE537A01013,10
GTNTEX,GTN Textiles Limited,EQ,18-MAY-2006,10,1,INE302H01017,10
GTOFFSHORE,Great Offshore Limited,EQ,21-DEC-2006,10,1,INE892H01017,10
GUJALKALI,Gujarat  Alkalies and Chemicals Ltd.,EQ,07-AUG-1997,10,1,INE186A01019,10
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10,1,INE826C01016,10
GUJFLUORO,Gujarat Fluorochemicals Ltd,EQ,25-MAY-1995,2,1,INE538A01029,2
GUJNRECOKE,Gujarat NRE Coke Ltd.,EQ,02-AUG-2004,10,1,INE110D01013,10
GUJRATGAS,Gujarat Gas Co. Ltd,EQ,01-APR-2003,2,1,INE374A01029,2
GUJSIDHCEM,Gujarat Sidhee Cements Ltd,EQ,06-JUL-1995,10,1,INE542A01013,10
GUJSTATFIN,Gujarat State Financial Corporation,BT,02-MAY-1997,10,100,INE944A01011,10
GVKPIL,GVK Power & Infrastructure Limited,EQ,27-FEB-2006,10,1,INE251H01016,10
GWALCHEM,Gwalior Chemical Industries Limited,EQ,04-OCT-2006,10,1,INE916G01016,10
HANUNG,Hanung Toys and Textiles Limited,EQ,20-OCT-2006,10,1,INE648H01013,10
HARRMALAYA,Harrisons  Malayalam Ltd,EQ,08-FEB-1995,10,1,INE544A01019,10
HAVELLS,Havells India Limited,EQ,21-MAR-2001,5,1,INE176B01026,5
HBLPOWER,HBL Power Systems Limited,EQ,04-JAN-2007,10,1,INE292B01013,10
HBSTOCK,HB Stockholdings Limited,EQ,15-OCT-1997,10,1,INE550B01014,10
HCC,Hindustan Construction Co. Ltd,EQ,01-APR-2003,1,1,INE549A01026,1
HCIL,Himadri Chemicals and Industries Ltd,EQ,02-MAR-2007,10,1,INE019C01018,10
HCL-INSYS,HCL Infosystems Ltd,EQ,01-JAN-1997,2,1,INE236A01020,2
HCLTECH,HCL Technologies Ltd,EQ,06-JAN-2000,2,1,INE860A01027,2
HDFC,Housing Development Finance Corporation Ltd.,EQ,23-OCT-1996,10,1,INE001A01028,10
HDFCBANK,HDFC Bank Ltd,EQ,08-NOV-1995,10,1,INE040A01018,10
HDIL,Housing Development and Infrastructure Limited,EQ,24-JUL-2007,10,1,INE191I01012,10
HEG,HEG Ltd,EQ,10-MAY-1995,10,1,INE545A01016,10
HELIOSMATH,Helios And Matheson Information Technology Limited,EQ,24-FEB-2005,10,1,INE674B01012,10
HERITGFOOD,Heritage Foods (India) Ltd.,EQ,27-NOV-1996,10,1,INE978A01019,10
HEROHONDA,Hero Honda Motors Ltd.,EQ,11-APR-2003,2,1,INE158A01026,2
HEXAWARE,Hexaware Technologies Limited,EQ,14-JUN-2002,2,1,INE093A01033,2
HIKAL,Hikal Limited,EQ,14-FEB-2001,10,1,INE475B01014,10
HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10,1,INE788H01017,10
HIMACHLFUT,Himachal Futuristic Communication Ltd,EQ,08-FEB-1995,10,1,INE548A01010,10
